TourID,FacilityID,TourName,TourType,TourDescription,TourDuration,TourAccessible,CreatedDate,LastUpdatedDate
10086916,400000,Cadillac Sunrise - CUA Vehicle (21+ ft),Nature Tour,Cadillac Sunrise - CUA Vehicle (21+ ft),120,true,2021-03-23,2021-03-23
10086917,400000,Cadillac Daytime - CUA Vehicle (10-21 ft),Nature Tour,Cadillac Daytime - CUA Vehicle (10-21 ft),120,true,2021-03-23,2021-03-23
10086918,400000,Cadillac Daytime - CUA Vehicle (21+ ft),Nature Tour,Cadillac Daytime - CUA Vehicle (21+ ft),120,true,2021-03-23,2021-03-23
10086919,400000,Cadillac Sunrise - CUA Vehicle (10-21 ft),Nature Tour,Cadillac Sunrise - CUA Vehicle (10-21 ft),120,true,2021-03-23,2021-03-23
10086936,10086935,1-Day ORV Tickets,Nature Tour,Reservation to pick up Off Road Vehicle ticket.,5,true,2021-03-31,2021-03-31
10086943,251853,Parachute Shield Tour,Cave Tour,"Parachute Shield Tours are approximately 60 minutes long and travel about 0.35 miles. This tour is open to all ages. The Parachute Shield Tour visits the Lodge Room, The Inscription Room, the Cypress Swamp and the Grand Palace sections of Lehman Caves, including a chance to view the famous Parachute Shield formation. The tour is limited to 20 visitors. White Nose Syndrome screening is mandatory.",60,false,2021-03-31,2021-03-31
10086991,10086990,1-Day Ape Cave Tickets,Cave Tour,A reservation ticket is a per vehicle ticket to enter the site.  A limited number of vehicles will be permitted per 2-hour window.,60,false,2021-04-27,2021-04-27
10087087,10087086,Going-to-the-Sun Road Corridor 3-Day Vehicle Reservations,Nature Tour,"Entry tickets go on sale at 6 am Mountain Time on April 29th on a rolling 60-day window and daily starting May 27th 48 hours in advance also on a rolling window. Once your entry ticket is validated at the park, it is good for 7 consecutive days including the reserved day of arrival. Only one GTSR entry ticket is required per vehicle/motorcycle.",600,true,2021-04-22,2022-03-01
10087142,10087141,Golden Spike Commemoration Event,Nature Tour,"Golden Spike National Historic Park will commemorate the 152nd anniversary of the completion of the nation’s first transcontinental railroad on May 8, 9 and 10, 2021.  Events will include include the recreation of the historic “champagne photo”, a re-enactment of the original 1869 ceremony, steam locomotive demonstrations and exhibits of objects found along the historic railroad.",120,true,2021-04-26,2021-04-26
10087143,252034,Bodie Island Lighthouse Tickets,Cave Tour,,30,false,2022-04-06,2022-04-06
10087204,10087203,Crab Creek ,Nature Tour,This ticket allows parking at the western end of the Lewis River Recreation Area and access to the Lewis River Trail.,600,false,2021-05-18,2022-05-03
10087205,10087203,Lower Falls ,Nature Tour,"This ticket allows parking at Lower Falls Day Use area and requires an additional $5 day use fee, a Northwest Forest Pass, or America the Beautiful pass.  The site has vault toilets and picnic tables, and access to the Lewis River trail.",600,false,2021-05-18,2022-05-03
10087206,10087203,Middle Falls,Nature Tour,This ticket allows parking near the center of the Lewis River Recreation Area and allows access to the Lewis River Trail. It is the closest parking for viewing Middle Falls.,600,false,2021-05-18,2022-05-03
10087207,10087203,Upper Falls ,Nature Tour,This ticket allows parking near the Eastern portion of the Lewis River Recreation Area and allows access to the Lewis River Trail. It is the closest parking for viewing Upper Falls.,600,false,2021-05-18,2022-05-03
10087208,10087203,Wright Meadows ,Nature Tour,This ticket allows parking near the center of the Lewis River Recreation Area and allows access to the Lewis River Trail and Wright Meadows Trail.,600,false,2021-05-18,2022-05-03
10087209,10087203,Platinum Creek Parking (formerly Lewis River Parking),Nature Tour,"This ticket allows parking near the Eastern portion of the Lewis River Recreation Area and allows access to the Lewis River Trail via the Quartz Creek trail. This lot has a vault toilet and is within the Lewis River Horse Camp (first-come, first served camping available).",600,false,2021-05-18,2022-05-03
10087425,10087424,Apgar Visitor Center Ticket-to-Ride,Nature Tour,"You MUST arrive on the day you reserved during the hour of your reservation. Once your reservation is validated at the Apgar Visitor Center, you can board and disembark at any stop. One bus ticket is required for each rider over the age of 2 years.",60,true,2021-05-27,2021-06-02
10087426,10087424,St. Mary Visitor Center Ticket-to-Ride,Nature Tour,"You MUST arrive on the day you reserved during the hour of your reservation. Once your reservation is validated at the St. Mary Visitor Center, you can board and disembark at any stop. One bus ticket is required for each rider over the age of 2 years.",60,true,2021-05-27,2021-06-02
10087439,10087438,Mount Evans + All Recreation Sites Vehicle Ticket  ,Nature Tour,"Provides access for one private vehicle to access Mount Evans and all developed recreation sites. (Mount Goliath, Summit Lake Park, and the Summit Interpretive Area). The average time spent along the Scenic Drive is 2-3 hours.",120,true,2021-05-21,2022-05-03
10087440,10087438,Fee Free Days: Mount Evans + All Recreation Sites Vehicle Ticket,Nature Tour,"Provides access for one private vehicle or 1 motorcycle rider/scooter rider on the Fee Free Day to access Mount Evans and all developed recreation sites. (Mount Goliath, Summit Lake Park, and the Summit Interpretive Area). The average time spent along the Scenic Drive is 2-3 hours.",120,true,2021-05-21,2022-05-03
10087441,10087438,Mount Evans: Mt. Goliath Nature Center and Summit of Mt. Evans Interpretive Area Ticket,Nature Tour,Provides access for one private vehicle to access Forest Service developed recreation sites. (Mount Goliath and the Summit Interpretive Area only) The average time spent along the Scenic Drive is 2-3 hours.,120,true,2021-05-21,2022-05-03
10087442,10087438,Summit Lake Park Only Vehicle Ticket,Nature Tour,Provides access for one private vehicle to access Summit Lake Park only. The average time spent along the Scenic Drive is 2 hours.,120,true,2021-05-21,2022-05-03
10087443,10087438,Commercial Vehicle 1-Day Ticket,Nature Tour,"Provides access to the developed recreations sites for commercial operators who are not providing additional visitor services (guided hikes, climbing, etc.). This includes commercial test cars.",120,true,2021-05-21,2022-05-03
10087516,10087515,Mitchell Lake Trailhead - Day Use Parking,Nature Hike,Provides day use parking for one private vehicle in the  Mitchell Lake Trailhead parking lot. Visitors spend about 3-5 hours in the Indian Peaks Wilderness Area.,180,true,2021-05-21,2022-05-03
10087517,10087515,Long Lake Trailhead - Day Use Parking,Nature Hike,Provides day use parking for one private vehicle in the Long Lake Trailhead parking lot. Visitors spend about 3-5 hours in the Indian Peaks Wilderness Area.,180,true,2021-05-21,2022-05-03
10087518,10087515,Niwot Picnic Site/Trailhead - Day Use Parking,Nature Hike,Provides day use parking for one private vehicle in the Niwot Picnic Site/Trailhead parking lot. Visitors spend about 3-4 hours in the Indian Peaks Wilderness Area.,180,true,2021-05-21,2022-05-03
10087519,10087515,Brainard Lake Picnic Site/Trailhead - Day Use Parking,Nature Hike,Provides day use parking for one private vehicle in the Brainard Lake Day Use parking lot. Visitors spend 2-3 hours around Brainard Lake or 3-5 hours in the Indian Peaks Wilderness Area.,180,true,2021-05-21,2022-05-03
10087520,10087515,Red Rock Lake Picnic Site - Day Use Parking,Nature Hike,Provides day use parking for one private vehicle in the Red Rock Lake parking lot. Visitors spend up to 2-3 hours fishing or hiking nearby trails.,180,true,2021-05-21,2022-05-03
10087521,10087515,Overnight Parking Permit - Mitchell Lake,Nature Hike,Provides overnight parking for one private vehicle for the duration of the IPW backpacking trip. Visitors must have a valid Indian Peaks Wilderness overnight camping permit prior to obtaining this ticket type.,180,false,2021-05-21,2022-05-03
10087522,10087515,Overnight Parking Permit - Long Lake,Nature Hike,Provides overnight parking for one private vehicle for the duration of the IPW backpacking trip. Visitors must have a valid Indian Peaks Wilderness overnight camping permit prior to obtaining this ticket type.,180,false,2021-05-21,2022-05-03
10087523,10087515,Overnight Parking Permit - Niwot Picnic,Nature Hike,Provides overnight parking for one private vehicle for the duration of the IPW backpacking trip. Visitors must have a valid Indian Peaks Wilderness overnight camping permit prior to obtaining this ticket type.,180,false,2021-05-21,2022-05-03
10087524,10087515,Overnight Parking Permit - Brainard Lake,Nature Hike,Provides overnight parking for one private vehicle for the duration of the IPW backpacking trip. Visitors must have a valid Indian Peaks Wilderness overnight camping permit prior to obtaining this ticket type.,180,false,2021-05-21,2022-05-03
10087703,10087702,Minnetonka Cave Tour,Cave Tour,"Cave opens around Memorial Weekend and closes Labor Day Weekend, depending on snow. The cave is open 7 days a week from 10 a.m. Tours run every half hour or more often. The last tour starts at 5:30 p.m.",80,false,2022-08-09,2022-08-09
10087802,10087801,Top of the Dam Guided Tour,Historic Tour,"Cancellation Window / Refunds in CT:
Participants must check-in/pick up tickets at the Mount Morris Dam and Recreation Area Visitor Center at least 15 minutes prior to the Guided Walk start time. Otherwise, reservations will be cancelled and tickets forfeited. No refunds will be offered.",60,false,2021-07-16,2021-07-16
10088010,10088009,Laurel Falls Trailhead Parking,Nature Hike,Parking reservation tickets go on sale on August 16th at 10 am EST. Tickets are available on a rolling window starting August 30th. Only one parking reservation ticket is required per vehicle.,120,false,2021-08-17,2021-08-17
10088102,10087438,Mount Evans: Mount Goliath and Summit Lake Park Vehicle Ticket ,Entry Ticket,Provides access for one private vehicle. This ticket includes Mount Goliath and Summit Lake Park.  The average time spent along the Scenic Drive is 2-3 hours.,120,true,2022-05-03,2022-05-03
10088104,10088103,Scenic Tour,Cave Tour,"The Scenic Tour route provides an opportunity to visit various cave chambers and passages decorated with calcite crystals and other speleothems. This tour is considered a modern-day walking tour along a paved trail with electric lighting. The tour enters and leaves the cave by elevator in the visitor center. The Scenic Tour is moderately strenuous and lasts 1 hour and 20 minutes.
The tour route involves walking up and down 734 stair steps along a 1/2-mile (.8 km) loop, (equivalent to 40 flights of stairs). During the Scenic Tour, you will see two types of calcite crystals known as nailhead spar and dogtooth spar, which are the ""jewels"" of Jewel Cave. In addition, you can view boxwork, cave popcorn, flowstone, stalactites, stalagmites, draperies, and a long ribbon drapery called the cave bacon. With each visit, you will learn more about the cave formations, discovery and continuous exploration.
NOTE: Wheelchairs, scooters, and other mobility devices are not allowed on the Scenic Tour. Individuals with physical or mobility limitations may wish to contact the monument directly at (605) 673-8300 for additional programming",80,false,2021-12-10,2021-12-10
10088105,10088103,Discovery Tour,Cave Tour,A 20-25 minute ranger presentation inside the first room of the ever-popular Scenic Tour route. This presentation is universally accessible.,20,true,2021-12-10,2021-12-10
10088308,10088307,Fort Point Candlelight Tour,Historic Tour,The Candlelight Tour of Fort Point is a guided interpretive program of the entire fort after dark which allows for a new sensory experience for park visitors. The fort closes to the public at 5pm. This is when the assigned ranger will begin to prepare for the arrival of visitors at 6:15pm to distribute lanterns and allow visitors the chance to use the restroom before entering the fort. At 6:30pm visitors with reservations will begin their tour when the fort is otherwise inaccessible to the public. The Park Ranger will interpret the history and the life that once existed within the old brick walls of Fort Point that will engage audience in dialogue. Rangers will explore its cultural relevancy today through the lens of contrasts and juxtapositions of personal identities.,90,false,2021-10-21,2021-10-21
10088309,10088311,Pearl Harbor Lottery Event,Historic Tour,placeholder,1,true,2021-10-28,2021-10-28
10088312,10088311,Pearl Harbor Lottery Event,Historic Tour,placeholder,1,true,2021-10-28,2021-10-28
10088381,10088380,Pearl Harbor Lottery Event,Historic Tour,placeholder,1,true,2021-10-28,2021-10-28
10088382,10088380,Pearl Harbor Lottery Event,Historic Tour,placeholder,1,true,2021-10-28,2021-10-28
10088427,10088426,1-Day Personal Vehicle Timed Entry,Entry Ticket,Provides access for one private vehicle to access the main Scenic Drive in Arches and all designated parking areas along the route if spots are available through the main entrance.,60,true,2021-12-14,2021-12-14
10088441,10088440,Academic Teacher-Guided Tour,Historic Tour,"This ticket is used for academic institutions performing an educator guided tour with no commercial tour company. Academic fee waivers must be received no later than 3 weeks prior to arrival to be processed and approved.
Visiting “Teacher-led” means your students will tour the fort under your supervision, instead of exploring with a licensed tour guide. It is your responsibility to prepare your students and their accompanying chaperones for the visit. To assist you, the park has put together field trip guidance for your visit: Teacher-led School Groups.

The park has also put together Pre and Post Field Trip activities.",30,false,2022-06-15,2022-06-15
10088442,10088440,Commercial Guided Tour,Historic Tour,This ticket used by any commercial tour company that holds a current Commercial Use Authorization with the National Park Service at this location.,30,false,2022-06-15,2022-06-15
10088443,10088440,Non-Commercial Group Tour,Historic Tour,"Used for churches, scout groups, and other self-guided non-commercial groups of more than 10 people. If in doubt as to the type of ticket you need please call the park. Standard entry fees apply; $15.00 per adult, persons 15 years or younger are free, but a $1 non-refundable reservation must be paid per child.",60,false,2022-06-15,2022-06-15
10088446,10088445,Guided Tour of St. Paul's Church,Historic Tour,"Please be aware that the church does not  have air conditioning. In that regard, the historic building does tend to be warm and humid during the summer months.",90,true,2021-12-10,2021-12-10
10088447,10088445,Educational Tour of St. Paul's Church,Historic Tour,"Please be aware that the church does not  have air conditioning. In that regard, the historic building does tend to be warm and humid during the summer months.",120,true,2021-12-10,2021-12-10
10088451,10088450,Day Use Hiking Ticket,Hike,Provides access for one person to Old Rag Mountain hiking trails,1200,false,2022-01-26,2022-01-26
10088453,10088452,Special Guided Paleontology Hike,Hike,Provides access for individuals to a moderately strenuous seven-mile round trip Ranger guided hike in a remote area of the park that is otherwise closed to the public.,480,false,2021-12-22,2021-12-22
10088481,10088445,Self Guided Tour of St. Paul's Church,Historic Tour,"Please be aware that the church does not  have air conditioning. In that regard, the historic building does tend to be warm and humid during the summer months.",90,true,2021-12-10,2021-12-10
10088519,10088514,Candlelight Tour,Cave Tour,Cancellation up to 7 days prior - Admits one person to the strenuous tour by candlelight.,120,false,2022-02-18,2022-02-18
10088520,10088514,Wild Cave Tour,Cave Tour,Cancellation up to 7 days prior - Admits one person to the very strenuous crawling tour.,240,false,2022-02-18,2022-02-18
10088548,10088547,Hydroelectric Power Plant Tour,Historic Tour,"Reservations are available 90 days prior to date of the tour.  Tours begin at 2:00 pm C.S.T., Thursday, Fridays, and Saturdays.  Please arrive on the date of your reserved tour at least 10 min early to allow for a timely tour for all individuals in the tour.  Once the gate is secured no entry will be given to late individuals.  State Issued or Federal Issued ID is required to be presented prior to entry for all individuals 18 and over.",120,true,2022-03-18,2022-03-22
10088549,10088547,School Power Plant Tour,Historic Tour,Reservations are available 90 days prior to date of the tour.  Please arrive on the date or your reservation and at least 10 min early of your tour time.  State Issued or Federal Issued ID is required to be presented prior to entry for all individuals 18 and over.,120,true,2022-03-18,2022-03-22
10088550,10088547,Energy Group Tour,Historic Tour,Reservations are available 90 days prior to date of the tour.  Please arrive on the date or your reservation and at least 10 min early of your tour time.  State Issued or Federal Issued ID is required to be presented prior to entry for all individuals 18 and over.,120,true,2022-03-18,2022-03-22
10088646,10087086,North Fork 1-Day Vehicle Reservations,Entry Ticket,,720,true,2022-03-01,2022-03-01
10088648,10088647,Shuttle Tickets to Rocky Mountain,Entry Ticket,,60,true,2022-04-29,2022-04-29
10088722,10088721,Passport to Pearl Harbor,Cave Tour,"Includes the USS Arizona Audio Tour, Pearl Harbor Virtual Experience, and general admission to the Battleship Missouri Memorial, Pearl Harbor Aviation Museum, and Pacific Fleet Submarine Museum.
*Passports DO NOT include tickets to the National Park Service movie or boat tickets to the USS Arizona Memorial. Please visit https://www.recreation.gov/ticket/233338/ticket/16 to reserve those tickets.",360,false,2022-03-16,2022-03-16
10088804,10088803,Archbald Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088805,10088803,Carbondale Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088806,10088803,Cresco Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088807,10088803,Delaware Water Gap Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088808,10088803,East Stroudsburg Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088809,10088803,Gouldsboro Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088810,10088803,Jessup Excursion,Historic Tour,,1,true,2022-04-05,2022-04-05
10088811,10088803,Moscow Excursion,Historic Tour,,1,true,2022-04-05,2022-04-05
10088812,10088803,Tobyhanna Excursion,Historic Tour,,1,false,2022-04-05,2022-04-05
10088813,10088803,The Scranton Limited,Historic Tour,,1,false,2022-04-05,2022-04-05
10088814,10088803,The Nay Aug Limited,Historic Tour,,1,false,2022-04-05,2022-04-05
10088849,10088848,Cape Hatteras Lighthouse Tickets,Cave Tour,,60,false,2022-04-06,2022-04-06
10088964,10088963,Sunset Point Bonita Lighthouse Guided Tour,Historic Tour,Each ticket allows one individual to attend this guided hike and tour of the historic Point Bonita Lighthouse. This includes access beyond the Point Bonita Tunnel which is otherwise closed to the public. This trail is not ADA accessible. Please let us know of any reasonable accommodations you may need. A maximum of 8 tickets can be purchased at a time for each tour.,90,false,2022-04-22,2022-04-22
10089006,10089005,Guided AFBG Tour,Historic Tour,"The guided AFBG tour is roughly 90 minutes in total. During the program, the ranger will present on the history of slavery during the Dutch and British periods and the history of the African Burial Ground and its re-discovery in 1991. Included in the program is a site introduction film approximately 20 minutes in length. Participants will be encouraged to engage in the program, ask questions, share thoughts and comments. The Guided AFBG Tour also includes a 30-minute Guided Outdoor Memorial Tour in the Spring and Summer, or a Guided Art Tour in the Fall and Winter.",90,true,2022-04-26,2022-04-26
10089007,10089005,Guided Art Tour,Historic Tour,The Guided Art Tour is roughly 30 minutes in total. The Ranger-led program explores the artwork commissioned by the General Services Administration on display in the lobby of the Ted Weiss Federal Building.,30,true,2022-04-26,2022-04-26
10089008,10089005,Guided Outdoor Memorial Tour,Historic Tour,The Guided Outdoor Memorial Tour is roughly 30 minutes in total. The Ranger-led program highlights the symbolism and significance of the outdoor memorial and the efforts to preserve and protect this sacred place.,30,true,2022-04-26,2022-04-26
10089009,10089005,Guided Tours for Education Groups,Historic Tour,"The Educational Tour for School Groups is roughly 90 minutes in total. During the program, the ranger will present on the history of slavery during the Dutch and British periods and the history of the African Burial Ground and its re-discovery in 1991. Included in the program is a site introduction film approximately 20 minutes in length. Participants will be encouraged to engage in the program, ask questions, share thoughts and comments. The Guided AFBG Tour also includes a 30-minute Guided Outdoor Memorial Tour in the Spring and Summer, or a Guided Art Tour in the Fall and Winter.",90,true,2022-04-26,2022-04-26
10089019,10089018,Ranger Talk in Rotunda,Historic Tour,"Tour of Federal Hall, discussing in brief its history and story in relation to American history.",45,true,2022-04-26,2022-04-26
10089020,10089018,Ranger Talk for Educational School Groups,Historic Tour,"Tour of Federal Hall, discussing in brief its history and story in relation to American history. Tailored to educational goals of group.",45,true,2022-04-26,2022-04-26
10089022,10089021,Castle  Williams Guided Tour,Historic Tour,"Explore the many chapters of the story that this early 1800s coastal fortification holds in its walls. Contrast the past with the present and future of Governors Island with a spectacular view of New York Harbor from the roof of the castle. This a 100% guided, walking tour the requires climbing three flights of stairs, including a historic, stone spiral staircase. As visitors are guided through the Castle’s interior, upper levels, ending on the roof top viewing platform",30,false,2022-04-26,2022-04-26
10089023,10089021,Fort Jay Guided Tour,Historic Tour,"Take a short walk with a ranger in and around the first fortification built on Governors Island and explore its evolution through time as a defensive structure, a munitions storage, a barracks, and a home for families of the armed services.",30,true,2022-04-26,2022-04-26
